Fecha,Nivel Medio
2024-10-13 16:47:00,-0.64
2024-10-13 16:46:00,-0.635
2024-10-13 16:45:00,-0.63
2024-10-13 16:44:00,-0.624
2024-10-13 16:43:00,-0.615
2024-10-13 16:42:00,-0.605
2024-10-13 16:41:00,-0.6
2024-10-13 16:40:00,-0.595
2024-10-13 16:39:00,-0.592
2024-10-13 16:38:00,-0.59
2024-10-13 16:37:00,-0.581
2024-10-13 16:36:00,-0.573
2024-10-13 16:35:00,-0.57
2024-10-13 16:34:00,-0.558
2024-10-13 16:33:00,-0.554
2024-10-13 16:32:00,-0.548
2024-10-13 16:31:00,-0.539
2024-10-13 16:30:00,-0.526
2024-10-13 16:29:00,-0.511
2024-10-13 16:28:00,-0.498
2024-10-13 16:27:00,-0.488
2024-10-13 16:26:00,-0.481
2024-10-13 16:25:00,-0.475
2024-10-13 16:24:00,-0.464
2024-10-13 16:23:00,-0.453
2024-10-13 16:22:00,-0.442
2024-10-13 16:21:00,-0.434
2024-10-13 16:20:00,-0.43
2024-10-13 16:19:00,-0.422
2024-10-13 16:18:00,-0.421
2024-10-13 16:17:00,-0.413
2024-10-13 16:16:00,-0.408
2024-10-13 16:15:00,-0.404
2024-10-13 16:14:00,-0.394
2024-10-13 16:13:00,-0.385
2024-10-13 16:12:00,-0.377
2024-10-13 16:11:00,-0.367
2024-10-13 16:10:00,-0.362
2024-10-13 16:09:00,-0.355
2024-10-13 16:08:00,-0.351
2024-10-13 16:07:00,-0.344
2024-10-13 16:06:00,-0.336
2024-10-13 16:05:00,-0.328
2024-10-13 16:04:00,-0.324
2024-10-13 16:03:00,-0.321
2024-10-13 16:02:00,-0.31
2024-10-13 16:01:00,-0.304
2024-10-13 16:00:00,-0.298
2024-10-13 15:59:00,-0.285
2024-10-13 15:58:00,-0.277
2024-10-13 15:57:00,-0.262
2024-10-13 15:56:00,-0.253
2024-10-13 15:55:00,-0.245
2024-10-13 15:54:00,-0.231
2024-10-13 15:53:00,-0.218
2024-10-13 15:52:00,-0.206
2024-10-13 15:51:00,-0.193
2024-10-13 15:50:00,-0.176
2024-10-13 15:49:00,-0.162
2024-10-13 15:48:00,-0.146
2024-10-13 15:47:00,-0.132
2024-10-13 15:46:00,-0.117
2024-10-13 15:45:00,-0.099
2024-10-13 15:44:00,-0.085
2024-10-13 15:43:00,-0.067
2024-10-13 15:42:00,-0.057
2024-10-13 15:41:00,-0.05
2024-10-13 15:40:00,-0.045
2024-10-13 15:39:00,-0.035
2024-10-13 15:38:00,-0.027
2024-10-13 15:37:00,-0.02
2024-10-13 15:36:00,-0.016
2024-10-13 15:35:00,-0.01
2024-10-13 15:34:00,-0.008
2024-10-13 15:33:00,-0.003
2024-10-13 15:32:00,0.006
2024-10-13 15:31:00,0.014
2024-10-13 15:30:00,0.019
2024-10-13 15:29:00,0.026
2024-10-13 15:28:00,0.031
2024-10-13 15:27:00,0.035
2024-10-13 15:26:00,0.035
2024-10-13 15:25:00,0.039
2024-10-13 15:24:00,0.046
2024-10-13 15:23:00,0.044
2024-10-13 15:22:00,0.048
2024-10-13 15:21:00,0.057
2024-10-13 15:20:00,0.058
2024-10-13 15:19:00,0.066
2024-10-13 15:18:00,0.073
2024-10-13 15:17:00,0.09
2024-10-13 15:16:00,0.104
2024-10-13 15:15:00,0.117
2024-10-13 15:14:00,0.133
2024-10-13 15:13:00,0.147
2024-10-13 15:12:00,0.158
2024-10-13 15:11:00,0.177
2024-10-13 15:10:00,0.191
2024-10-13 15:09:00,0.211
2024-10-13 15:08:00,0.225
2024-10-13 15:07:00,0.239
2024-10-13 15:06:00,0.247
2024-10-13 15:05:00,0.266
2024-10-13 15:04:00,0.281
2024-10-13 15:03:00,0.294
2024-10-13 15:02:00,0.312
2024-10-13 15:01:00,0.319
2024-10-13 15:00:00,0.335
2024-10-13 14:59:00,0.346
2024-10-13 14:58:00,0.358
2024-10-13 14:57:00,0.368
2024-10-13 14:56:00,0.377
2024-10-13 14:55:00,0.386
2024-10-13 14:54:00,0.395
2024-10-13 14:53:00,0.403
2024-10-13 14:52:00,0.407
2024-10-13 14:51:00,0.412
2024-10-13 14:50:00,0.42
2024-10-13 14:49:00,0.427
2024-10-13 14:48:00,0.434
2024-10-13 14:47:00,0.445
2024-10-13 14:46:00,0.449
2024-10-13 14:45:00,0.452
2024-10-13 14:44:00,0.455
2024-10-13 14:43:00,0.462
2024-10-13 14:42:00,0.471
2024-10-13 14:41:00,0.483
2024-10-13 14:40:00,0.49
2024-10-13 14:39:00,0.499
2024-10-13 14:38:00,0.502
2024-10-13 14:37:00,0.511
2024-10-13 14:36:00,0.516
2024-10-13 14:35:00,0.526
2024-10-13 14:34:00,0.532
2024-10-13 14:33:00,0.546
2024-10-13 14:32:00,0.554
2024-10-13 14:31:00,0.563
2024-10-13 14:30:00,0.574
2024-10-13 14:29:00,0.586
2024-10-13 14:28:00,0.601
2024-10-13 14:27:00,0.612
2024-10-13 14:26:00,0.629
2024-10-13 14:25:00,0.638
2024-10-13 14:24:00,0.648
2024-10-13 14:23:00,0.656
